state_fips,state,year,construction_real_gdp,construction_real_gdp_unit,unit_multiplier,construction_real_gdp_growth_pct
32,Nevada,2020,13639.9,millions_of_chained_2017_dollars,6,5.844785709297184
32,Nevada,2021,14007.6,millions_of_chained_2017_dollars,6,2.6957675642783396
32,Nevada,2022,13396.3,millions_of_chained_2017_dollars,6,-4.364059510551421
32,Nevada,2023,13934.8,millions_of_chained_2017_dollars,6,4.019766651986001
33,New Hampshire,2015,2393.6,millions_of_chained_2017_dollars,6,
33,New Hampshire,2016,2463.5,millions_of_chained_2017_dollars,6,2.9202874331550888
33,New Hampshire,2017,2561,millions_of_chained_2017_dollars,6,3.95778364116095
33,New Hampshire,2018,2602.3,millions_of_chained_2017_dollars,6,1.612651308082791
33,New Hampshire,2019,2688.6,millions_of_chained_2017_dollars,6,3.316297121776879
33,New Hampshire,2020,2348.9,millions_of_chained_2017_dollars,6,-12.63482853529717
33,New Hampshire,2021,2739.2,millions_of_chained_2017_dollars,6,16.616288475456575
33,New Hampshire,2022,2581.5,millions_of_chained_2017_dollars,6,-5.757155373831768
33,New Hampshire,2023,2636.7,millions_of_chained_2017_dollars,6,2.138291690877381
34,New Jersey,2015,21526.3,millions_of_chained_2017_dollars,6,
34,New Jersey,2016,21242.1,millions_of_chained_2017_dollars,6,-1.3202454671727204
34,New Jersey,2017,21117.5,millions_of_chained_2017_dollars,6,-0.5865710075745767
34,New Jersey,2018,20977.7,millions_of_chained_2017_dollars,6,-0.662010181129391
34,New Jersey,2019,21269.4,millions_of_chained_2017_dollars,6,1.390524223341938
34,New Jersey,2020,20415.5,millions_of_chained_2017_dollars,6,-4.014687767402947
34,New Jersey,2021,20846.4,millions_of_chained_2017_dollars,6,2.110651220886095
34,New Jersey,2022,19180.4,millions_of_chained_2017_dollars,6,-7.991787550848106
34,New Jersey,2023,19374.1,millions_of_chained_2017_dollars,6,1.0098850910304158
35,New Mexico,2015,3582.3,millions_of_chained_2017_dollars,6,
35,New Mexico,2016,3579.4,millions_of_chained_2017_dollars,6,-0.08095357731067176
35,New Mexico,2017,3748.2,millions_of_chained_2017_dollars,6,4.715874168855105
35,New Mexico,2018,3884.5,millions_of_chained_2017_dollars,6,3.6364121444960373
35,New Mexico,2019,4130.7,millions_of_chained_2017_dollars,6,6.3380100399021755
35,New Mexico,2020,4066.5,millions_of_chained_2017_dollars,6,-1.5542159924467946
35,New Mexico,2021,3984.6,millions_of_chained_2017_dollars,6,-2.0140169679085274
35,New Mexico,2022,3726.2,millions_of_chained_2017_dollars,6,-6.484967123425189
35,New Mexico,2023,4030.2,millions_of_chained_2017_dollars,6,8.158445601416986
36,New York,2015,48804.3,millions_of_chained_2017_dollars,6,
36,New York,2016,51969.4,millions_of_chained_2017_dollars,6,6.485289206074052
36,New York,2017,53737.5,millions_of_chained_2017_dollars,6,3.402194368224376
36,New York,2018,54280.3,millions_of_chained_2017_dollars,6,1.0100953710165284
36,New York,2019,54140.7,millions_of_chained_2017_dollars,6,-0.2571835454115101
36,New York,2020,49029.1,millions_of_chained_2017_dollars,6,-9.441326026445907
36,New York,2021,49583.2,millions_of_chained_2017_dollars,6,1.1301451586914757
36,New York,2022,44866.3,millions_of_chained_2017_dollars,6,-9.513101211700725
36,New York,2023,43942.7,millions_of_chained_2017_dollars,6,-2.0585606568850223
37,North Carolina,2015,19604.1,millions_of_chained_2017_dollars,6,
37,North Carolina,2016,21416.2,millions_of_chained_2017_dollars,6,9.243474579297196
37,North Carolina,2017,22761.1,millions_of_chained_2017_dollars,6,6.279825552619034
37,North Carolina,2018,23781.3,millions_of_chained_2017_dollars,6,4.4822086805998085
37,North Carolina,2019,25020.2,millions_of_chained_2017_dollars,6,5.209555406979449
37,North Carolina,2020,25119.8,millions_of_chained_2017_dollars,6,0.39807835269101144
37,North Carolina,2021,26119,millions_of_chained_2017_dollars,6,3.9777386762633427
37,North Carolina,2022,25211.9,millions_of_chained_2017_dollars,6,-3.47295072552547
37,North Carolina,2023,25864,millions_of_chained_2017_dollars,6,2.5864770207719268
38,North Dakota,2015,4350.8,millions_of_chained_2017_dollars,6,
38,North Dakota,2016,3906,millions_of_chained_2017_dollars,6,-10.223407189482403
