model,state_fips,state,n,rmse,mae,naive_rmse
log_lag_all,04,Arizona,2,1254497.9947939352,1228779.7251855666,1562049.935181331
log_lag_all,05,Arkansas,2,2278786.9282922777,1822126.4790833183,1834393.632784414
log_lag_all,06,California,2,724211.7043381575,607087.556126494,1676305.461424021
log_lag_all,08,Colorado,2,1712949.5309234792,1535890.9101924542,1070046.727951635
log_lag_all,09,Connecticut,2,607795.0682110072,557090.8061790839,424264.0687119285
log_lag_all,12,Florida,2,1965951.7446761362,1930285.5443753004,4210700.65428546
log_lag_all,13,Georgia,2,1270864.0565789011,1114415.5844074525,3166228.039797513
log_lag_all,15,Hawaii,2,511968.8843353767,489154.15150504466,526545.3446760307
log_lag_all,16,Idaho,2,248188.19488927073,184015.67220413312,185607.11193270585
log_lag_all,17,Illinois,2,2816420.0108326315,2019930.5454934575,2538700.4549572207
log_lag_all,18,Indiana,2,1203303.6334556118,1199611.4576003551,2024845.6731316587
log_lag_all,19,Iowa,2,1728731.8314334238,1698520.2778061964,1106797.1810589328
log_lag_all,20,Kansas,2,557751.4254887672,546406.6726054344,353553.39059327374
log_lag_all,21,Kentucky,2,975876.8368242338,873648.9593046382,2256102.8345356956
log_lag_all,23,Maine,2,260141.21586353585,259971.52314554946,220000
log_lag_all,24,Maryland,2,1414423.6577500468,1394950.4569307081,1012422.8365658293
log_lag_all,25,Massachusetts,2,490171.33149771125,451415.70566367544,452769.2569068708
log_lag_all,26,Michigan,2,2405718.208173679,1948851.4222133122,2154065.9228538014
log_lag_all,27,Minnesota,2,592802.40316898,427681.04310823046,449444.10108488466
log_lag_all,28,Mississippi,2,520550.23165909556,509186.4736477217,502195.1811795888
log_lag_all,29,Missouri,2,3511031.0031356723,3448710.4970724285,670820.3932499369
log_lag_all,30,Montana,2,15070.315475708694,15041.552220180398,10000
log_lag_all,32,Nevada,2,356669.51544037246,347685.0281176232,121655.2506059644
log_lag_all,33,New Hampshire,2,92919.29831962325,66474.58149417909,58309.518948453006
log_lag_all,34,New Jersey,2,329162.52896476706,319333.0980966743,640312.4237432849
log_lag_all,35,New Mexico,2,468531.0139969799,460564.9319502297,447493.01670528896
log_lag_all,36,New York,2,925400.0669780022,915636.5416679978,1000000
log_lag_all,37,North Carolina,2,2351715.706283178,1996095.2311991155,2912902.3327259016
log_lag_all,38,North Dakota,2,79134.12433617515,57798.99253488035,70359.78965289763
log_lag_all,39,Ohio,2,3323199.3553262576,2803655.72712297,2438237.068047322
log_lag_all,40,Oklahoma,2,1957504.8572274363,1825325.5927562043,1166190.37896906
log_lag_all,41,Oregon,2,2251642.4742963347,2251590.3432428706,2507987.2407968906
log_lag_all,42,Pennsylvania,2,4890565.45914131,4885994.471516453,2608639.4921491165
log_lag_all,44,Rhode Island,2,325919.1516207215,244425.91400008404,248696.60230891776
log_lag_all,45,South Carolina,2,936892.9548203285,934258.966321839,2079663.4343085422
log_lag_all,46,South Dakota,2,503635.488906707,408259.9614329343,441418.16908686486
log_lag_all,47,Tennessee,2,4192015.0130139897,3352930.9504414536,2785677.655436824
log_lag_all,48,Texas,2,9240173.523995945,6912144.952652499,8514693.1829632
log_lag_all,49,Utah,2,1283747.7950710452,1065081.3646336012,930053.7618869137
log_lag_all,50,Vermont,2,159672.50395264698,144982.61884484533,172191.75357722564
log_lag_all,51,Virginia,2,4173263.4049207876,3290479.9471764416,2885307.6092507015
