state_fips,state,year,target_observed,target_withheld,fhwa_year_matches,bls_months,msha_no_qualifying_activity,eligible_explanation,eligible_prediction
24,Maryland,2023,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
25,Massachusetts,2015,TRUE,FALSE,FALSE,12,FALSE,FALSE,FALSE
25,Massachusetts,2016,TRUE,FALSE,FALSE,12,FALSE,FALSE,FALSE
25,Massachusetts,2017,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
25,Massachusetts,2018,TRUE,FALSE,FALSE,12,FALSE,FALSE,TRUE
25,Massachusetts,2019,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
25,Massachusetts,2020,TRUE,FALSE,FALSE,12,FALSE,FALSE,TRUE
25,Massachusetts,2021,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
25,Massachusetts,2022,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
25,Massachusetts,2023,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
26,Michigan,2015,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
26,Michigan,2016,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
26,Michigan,2017,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
26,Michigan,2018,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
26,Michigan,2019,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
26,Michigan,2020,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
26,Michigan,2021,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
26,Michigan,2022,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
26,Michigan,2023,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
27,Minnesota,2015,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
27,Minnesota,2016,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
27,Minnesota,2017,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
27,Minnesota,2018,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
27,Minnesota,2019,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
