state_fips,year,active_stone_mines,stone_mine_employees,stone_mine_employee_hours,stone_mine_operations,msha_no_qualifying_activity,msha_uses_current_commodity,msha_activity_not_rated_capacity
31,2015,13,94,187626,13,FALSE,TRUE,TRUE
31,2016,12,92,193409,12,FALSE,TRUE,TRUE
31,2017,10,93,198876,10,FALSE,TRUE,TRUE
31,2018,11,99,187428,11,FALSE,TRUE,TRUE
31,2019,11,99,193709,11,FALSE,TRUE,TRUE
31,2020,11,59,99136,11,FALSE,TRUE,TRUE
31,2021,9,45,84866,9,FALSE,TRUE,TRUE
31,2022,12,54,86209,12,FALSE,TRUE,TRUE
31,2023,12,51,89129,12,FALSE,TRUE,TRUE
32,2015,18,147,278427,18,FALSE,TRUE,TRUE
32,2016,18,156,294424,18,FALSE,TRUE,TRUE
32,2017,17,148,299116,17,FALSE,TRUE,TRUE
32,2018,18,162,305717,18,FALSE,TRUE,TRUE
32,2019,19,169,312081,19,FALSE,TRUE,TRUE
32,2020,18,155,310017,18,FALSE,TRUE,TRUE
32,2021,18,164,317200,18,FALSE,TRUE,TRUE
32,2022,18,164,319701,18,FALSE,TRUE,TRUE
32,2023,19,176,349752,19,FALSE,TRUE,TRUE
33,2015,29,178,322894,29,FALSE,TRUE,TRUE
33,2016,29,189,343712,29,FALSE,TRUE,TRUE
33,2017,29,183,313325,29,FALSE,TRUE,TRUE
33,2018,27,172,320826,27,FALSE,TRUE,TRUE
33,2019,27,172,321517,27,FALSE,TRUE,TRUE
33,2020,25,167,315017,25,FALSE,TRUE,TRUE
33,2021,26,179,318056,26,FALSE,TRUE,TRUE
33,2022,28,173,310549,28,FALSE,TRUE,TRUE
33,2023,27,166,316058,27,FALSE,TRUE,TRUE
34,2015,16,312,776521,16,FALSE,TRUE,TRUE
34,2016,17,331,820093,17,FALSE,TRUE,TRUE
34,2017,19,351,846050,19,FALSE,TRUE,TRUE
34,2018,18,347,823251,18,FALSE,TRUE,TRUE
34,2019,18,375,914174,18,FALSE,TRUE,TRUE
34,2020,18,399,912907,18,FALSE,TRUE,TRUE
34,2021,17,377,885975,17,FALSE,TRUE,TRUE
34,2022,17,393,936016,17,FALSE,TRUE,TRUE
34,2023,16,412,988247,16,FALSE,TRUE,TRUE
35,2015,45,261,459053,45,FALSE,TRUE,TRUE
35,2016,45,262,428949,45,FALSE,TRUE,TRUE
35,2017,60,287,468248,60,FALSE,TRUE,TRUE
35,2018,63,293,501236,63,FALSE,TRUE,TRUE
35,2019,68,304,526260,68,FALSE,TRUE,TRUE
35,2020,54,293,503608,54,FALSE,TRUE,TRUE
35,2021,44,259,464367,44,FALSE,TRUE,TRUE
35,2022,45,268,486303,45,FALSE,TRUE,TRUE
35,2023,44,255,469490,44,FALSE,TRUE,TRUE
36,2015,158,820,1512353,158,FALSE,TRUE,TRUE
36,2016,162,886,1668490,162,FALSE,TRUE,TRUE
36,2017,170,885,1622873,170,FALSE,TRUE,TRUE
36,2018,168,893,1665700,168,FALSE,TRUE,TRUE
36,2019,166,914,1674073,166,FALSE,TRUE,TRUE
36,2020,164,869,1488067,164,FALSE,TRUE,TRUE
36,2021,173,945,1649775,173,FALSE,TRUE,TRUE
36,2022,164,929,1657143,164,FALSE,TRUE,TRUE
36,2023,160,939,1766921,160,FALSE,TRUE,TRUE
37,2015,124,795,1611391,124,FALSE,TRUE,TRUE
37,2016,122,809,1734701,122,FALSE,TRUE,TRUE
37,2017,127,861,1837427,127,FALSE,TRUE,TRUE
37,2018,134,865,1827716,134,FALSE,TRUE,TRUE
37,2019,130,882,1870658,130,FALSE,TRUE,TRUE
37,2020,129,897,1724825,129,FALSE,TRUE,TRUE
37,2021,131,925,1854951,131,FALSE,TRUE,TRUE
37,2022,131,927,1889289,131,FALSE,TRUE,TRUE
37,2023,128,926,1956665,128,FALSE,TRUE,TRUE
38,2015,5,14,11269,5,FALSE,TRUE,TRUE
38,2016,3,11,8289,3,FALSE,TRUE,TRUE
38,2017,2,4,5119,2,FALSE,TRUE,TRUE
38,2018,2,4,2110,2,FALSE,TRUE,TRUE
38,2019,2,4,681,2,FALSE,TRUE,TRUE
38,2020,0,0,0,0,TRUE,TRUE,TRUE
38,2021,0,0,0,0,TRUE,TRUE,TRUE
38,2022,0,0,0,0,TRUE,TRUE,TRUE
