state_fips,year,construction_gdp_chained_2017_million_usd,total_gdp_chained_2017_million_usd,personal_income_nominal_million_usd
40,2017,7165.7,192538.6,171995.4
40,2018,7218.1,196030.5,180824
40,2019,7348.3,200072.2,189996.8
40,2020,7253.2,191377,198234.3
40,2021,7266,194991.2,217902.1
40,2022,6585.6,194170.9,233182.3
40,2023,6570.4,207072.7,247300.5
41,2015,8338.2,205581.8,177478.1
41,2016,9243.2,214769.3,186105
41,2017,10077.3,225534.5,197262.3
41,2018,10897.5,234308.3,210044.9
41,2019,11230.1,239794.8,220029.4
41,2020,11422.5,236651.4,240450.4
41,2021,11668.8,250919.9,266544.6
41,2022,11252.5,254237.5,270427.9
41,2023,10977.3,258023.4,286979.9
42,2015,29052.4,734145.1,635818
42,2016,29198.3,744847.1,653328.9
42,2017,30059.4,754318,671702.8
42,2018,30425.6,763855.4,707043.4
42,2019,30646.4,771852.5,729329.5
42,2020,28088.1,738176.1,783389.5
42,2021,29135,766140,833103.4
42,2022,26987.4,776824.7,845037.9
42,2023,26731.9,789918.5,885950
44,2015,2077,58387.9,51775.2
44,2016,2124.2,58630,52514.5
44,2017,2117.1,58771.6,54704.3
44,2018,2247.4,58740.1,56918.9
44,2019,2322.7,60157.6,60337
44,2020,2202.3,58132.3,64996.8
44,2021,2233.9,60660,69245.5
44,2022,2057,61517.3,70880.1
44,2023,2073.4,62119.3,74777.8
45,2015,9807.6,213212.4,192054.7
45,2016,10750.7,220559.3,200027.4
45,2017,11813.2,224937.6,210387.6
45,2018,11917.2,231663.3,219942.1
45,2019,12272.2,239021.3,234295.4
45,2020,12047.3,233294.4,250250.5
45,2021,12303.3,245812,277322.6
45,2022,11822.1,256608.5,288512.6
45,2023,11997.9,266037.8,311235.5
46,2015,1940.4,50860.8,41160.1
46,2016,2008.4,51264.3,41551.5
46,2017,1943.2,51615.1,42989.3
46,2018,2007.9,51937.8,45144
46,2019,2101.3,52510.2,48013.9
46,2020,2184.4,53349.2,52908.8
46,2021,2252,56015.4,60221
46,2022,2147.9,55257.2,63454.7
46,2023,2212.4,57253,68097
47,2015,11200.2,335461.1,277356.1
47,2016,11542.8,343544.9,286532.3
47,2017,12016.2,355417.5,299307.7
47,2018,12496.2,362363.7,316176.5
47,2019,13204.5,370197.4,335601.7
47,2020,13262.2,368057,360094.7
47,2021,14268.6,401673.7,402024.7
47,2022,14432.6,415451.6,417424.4
47,2023,15189.2,428276.1,453765.7
48,2015,86858.7,1634127.1,1281170.1
48,2016,88504.9,1633863.3,1276330.6
48,2017,88478.1,1667313,1367826
48,2018,87963,1746543.3,1463789.8
48,2019,90412.5,1806736.1,1537205.7
48,2020,88221,1782738.2,1602962.6
48,2021,88534.6,1905512.4,1786060.9
48,2022,84946.7,1975164,1920254.6
48,2023,85807.6,2137536.7,2074225.2
49,2015,9654.3,155431.5,119661.5
49,2016,10599.8,162528.2,126540.6
49,2017,11447.2,172075,134546.7
49,2018,12156.1,182106,144645.5
49,2019,12894.3,192760.6,155711.5
49,2020,14271,195323.2,169991.6
49,2021,15266.1,211289.5,194799.1
49,2022,15033.5,217848.8,206055.7
49,2023,15018,226322.1,222237.8
50,2015,1170.5,32042.9,30598
50,2016,1196.9,32312.7,31073.3
50,2017,1195.4,32589.2,31960.2
50,2018,1162.8,32827.8,33117.1
50,2019,1147.5,33339.4,34838
50,2020,1086.4,32408.7,37392.8
50,2021,1138.7,33584.3,39552.8
50,2022,1067.1,34915.9,41336.5
50,2023,1095.3,35499.4,44058.6
