state_fips,year,private_nonresidential_nominal_million_usd,private_nonresidential_nominal_million_usd_source_file,state_local_construction_nominal_million_usd,state_local_construction_nominal_million_usd_source_file
35,2016,1128,nrstatehs1,1387,slstatehs
35,2017,1791,nrstatehs1,1282,slstatehs
35,2018,1897,nrstatehs1,1682,slstatehs
35,2019,1570,nrstatehs1,1662,slstatehs
35,2020,1653,nrstatehs1,1912,slstatehs
35,2021,1573,nrstatehs1,1463,slstatehs
35,2022,3045,nrstate,1952,slstate
35,2023,3617,nrstate,2412,slstate
36,2015,24596,nrstatehs1,21448,slstatehs
36,2016,30901,nrstatehs1,20434,slstatehs
36,2017,27879,nrstatehs1,20392,slstatehs
36,2018,31481,nrstatehs1,21217,slstatehs
36,2019,32538,nrstatehs1,24578,slstatehs
36,2020,32002,nrstatehs1,25594,slstatehs
36,2021,31258,nrstatehs1,23308,slstatehs
36,2022,30554,nrstate,24605,slstate
36,2023,31807,nrstate,28212,slstate
37,2015,5218,nrstatehs1,5717,slstatehs
37,2016,7751,nrstatehs1,6823,slstatehs
37,2017,9617,nrstatehs1,6610,slstatehs
37,2018,10159,nrstatehs1,7677,slstatehs
37,2019,10193,nrstatehs1,9745,slstatehs
37,2020,8389,nrstatehs1,8432,slstatehs
37,2021,7892,nrstatehs1,7673,slstatehs
37,2022,13081,nrstate,8983,slstate
37,2023,19078,nrstate,10661,slstate
38,2015,2028,nrstatehs1,3185,slstatehs
38,2016,2880,nrstatehs1,2914,slstatehs
38,2017,1668,nrstatehs1,2515,slstatehs
38,2018,1220,nrstatehs1,1421,slstatehs
38,2019,1461,nrstatehs1,1652,slstatehs
38,2020,1282,nrstatehs1,1609,slstatehs
38,2021,1310,nrstatehs1,2308,slstatehs
38,2022,1682,nrstate,2180,slstate
38,2023,2851,nrstate,2293,slstate
39,2015,7446,nrstatehs1,8804,slstatehs
39,2016,8550,nrstatehs1,9430,slstatehs
39,2017,8698,nrstatehs1,8515,slstatehs
39,2018,9686,nrstatehs1,9044,slstatehs
39,2019,10145,nrstatehs1,9926,slstatehs
39,2020,11647,nrstatehs1,9988,slstatehs
39,2021,12532,nrstatehs1,10094,slstatehs
39,2022,14308,nrstate,9742,slstate
39,2023,31505,nrstate,13269,slstate
40,2015,4676,nrstatehs1,5622,slstatehs
40,2016,4035,nrstatehs1,5376,slstatehs
40,2017,3872,nrstatehs1,4226,slstatehs
