state_fips,year,series_id,heavy_civil_employment_thousands,bls_months
45,2017,SMU45000002023700001,18.083333333333332,12
45,2018,SMU45000002023700001,16.541666666666668,12
45,2019,SMU45000002023700001,17.066666666666666,12
45,2020,SMU45000002023700001,16.35,12
45,2021,SMU45000002023700001,16.008333333333333,12
45,2022,SMU45000002023700001,16.708333333333332,12
45,2023,SMU45000002023700001,17.408333333333335,12
46,2015,SMU46000002023700001,3.4416666666666664,12
46,2016,SMU46000002023700001,3.941666666666667,12
46,2017,SMU46000002023700001,3.5416666666666665,12
46,2018,SMU46000002023700001,3.533333333333333,12
46,2019,SMU46000002023700001,3.9916666666666667,12
46,2020,SMU46000002023700001,4.525,12
46,2021,SMU46000002023700001,4.291666666666667,12
46,2022,SMU46000002023700001,4.225,12
46,2023,SMU46000002023700001,4.525,12
47,2015,SMU47000002023700001,14.583333333333334,12
47,2016,SMU47000002023700001,15.108333333333334,12
47,2017,SMU47000002023700001,15.941666666666666,12
47,2018,SMU47000002023700001,16.233333333333334,12
47,2019,SMU47000002023700001,16.666666666666668,12
47,2020,SMU47000002023700001,16.758333333333333,12
47,2021,SMU47000002023700001,17.4,12
47,2022,SMU47000002023700001,19.216666666666665,12
47,2023,SMU47000002023700001,20.525,12
48,2015,SMU48000002023700001,141.175,12
48,2016,SMU48000002023700001,145.80833333333334,12
48,2017,SMU48000002023700001,148.65,12
48,2018,SMU48000002023700001,161.1,12
48,2019,SMU48000002023700001,178.19166666666666,12
48,2020,SMU48000002023700001,166.64166666666668,12
48,2021,SMU48000002023700001,158.74166666666667,12
48,2022,SMU48000002023700001,167.375,12
48,2023,SMU48000002023700001,175.725,12
49,2015,SMU49000002023700001,9.35,12
49,2016,SMU49000002023700001,9.058333333333334,12
49,2017,SMU49000002023700001,9.616666666666667,12
49,2018,SMU49000002023700001,10.333333333333334,12
49,2019,SMU49000002023700001,10.991666666666667,12
49,2020,SMU49000002023700001,12.191666666666666,12
49,2021,SMU49000002023700001,12.483333333333334,12
49,2022,SMU49000002023700001,12.833333333333334,12
49,2023,SMU49000002023700001,12.975,12
51,2015,SMU51000002023700001,29.541666666666668,12
51,2016,SMU51000002023700001,29.458333333333332,12
51,2017,SMU51000002023700001,29.958333333333332,12
51,2018,SMU51000002023700001,30.725,12
51,2019,SMU51000002023700001,29.7,12
51,2020,SMU51000002023700001,30.15833333333333,12
51,2021,SMU51000002023700001,31.075,12
51,2022,SMU51000002023700001,31.8,12
51,2023,SMU51000002023700001,33.6,12
53,2015,SMU53000002023700001,19.316666666666666,12
53,2016,SMU53000002023700001,19.708333333333332,12
53,2017,SMU53000002023700001,20.283333333333335,12
53,2018,SMU53000002023700001,20.916666666666668,12
53,2019,SMU53000002023700001,21.708333333333332,12
53,2020,SMU53000002023700001,21.266666666666666,12
53,2021,SMU53000002023700001,21.716666666666665,12
53,2022,SMU53000002023700001,21.591666666666665,12
53,2023,SMU53000002023700001,20.933333333333334,12
55,2015,SMU55000002023700001,14.416666666666668,12
55,2016,SMU55000002023700001,13.541666666666666,12
55,2017,SMU55000002023700001,14.075,12
55,2018,SMU55000002023700001,14.491666666666667,12
55,2019,SMU55000002023700001,14.8,12
55,2020,SMU55000002023700001,15.208333333333334,12
55,2021,SMU55000002023700001,16.075,12
55,2022,SMU55000002023700001,17.175,12
55,2023,SMU55000002023700001,17.533333333333335,12
56,2015,SMU56000002023700001,6.266666666666667,12
56,2016,SMU56000002023700001,5.233333333333333,12
56,2017,SMU56000002023700001,4.583333333333333,12
56,2018,SMU56000002023700001,5.666666666666667,12
56,2019,SMU56000002023700001,7.408333333333333,12
56,2020,SMU56000002023700001,6.116666666666666,12
56,2021,SMU56000002023700001,5.308333333333334,12
56,2022,SMU56000002023700001,4.933333333333334,12
56,2023,SMU56000002023700001,5.675,12
