fhwa_state_token,year,highway_capital_outlays_nominal_thousand_usd,highway_construction_preservation_nominal_thousand_usd,state_fips,fhwa_reported_year,fhwa_footnote,fhwa_year_matches,fhwa_provenance
Idaho,2019,602942,507643,16,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Idaho,2020,511559,390183,16,2020,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Idaho,2021,648103,524037,16,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Idaho,2022,726996,574220,16,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Idaho,2023,742026,549714,16,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Illinois,2015,4417695,3809078,17,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Illinois,2016,4220642,3635204,17,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Illinois,2017,3544877,2818883,17,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Illinois,2018,3455712,2772215,17,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Illinois,2019,3146026,2507697,17,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Illinois,2020,4239202,3544526,17,2020,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Illinois,2021,4763226,4148546,17,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Illinois,2022,4153116,3547515,17,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Illinois,2023,3817534,3150537,17,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Indiana,2015,1417027,1213534,18,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Indiana,2016,1355349,1187588,18,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Indiana,2017,1304272,1106407,18,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Indiana,2018,1302795,1077713,18,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Indiana,2019,1554090,1243694,18,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Indiana,2020,1842803,1465664,18,2020,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Indiana,2021,2284400,1815737,18,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Indiana,2022,1997211,1621640,18,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
