time,state_fips,region_code,division_code,state_name,bldgs_1unit,units_1unit,value_1unit,bldgs_2unit,units_2unit,value_2unit,bldgs_34unit,units_34unit,value_34unit,bldgs_5punit,units_5punit,value_5punit,bldgs_1unit_rep,units_1unit_rep,value_1unit_rep,bldgs_2unit_rep,units_2unit_rep,value_2unit_rep,bldgs_34unit_rep,units_34unit_rep,value_34unit_rep,bldgs_5punit_rep,units_5punit_rep,value_5punit_rep,year
201899,23,1,1,Maine,3660,3660,844208,66,132,20547,12,42,4320,58,863,90224,2850,2850,698695,57,114,18277,12,42,4320,57,814,85153,2018
201999,23,1,1,Maine,3474,3474,833466,98,196,33260,8,29,3862,50,1061,134152,2647,2647,676494,95,190,32291,8,29,3862,48,983,125632,2019
202099,23,1,1,Maine,4180,4180,1042442,99,198,30294,20,73,7058,47,853,114344,2564,2564,664288,81,162,24719,16,61,6058,33,735,103663,2020
202199,23,1,1,Maine,5238,5238,1405235,120,240,44075,21,72,11699,54,980,132790,3747,3747,1070661,98,196,36855,13,48,9699,42,825,118050,2021
202299,23,1,1,Maine,4907,4907,1362318,113,226,39521,27,95,13555,72,1866,252318,3396,3396,1036666,100,200,36330,22,80,12358,53,1767,242573,2022
202399,23,1,1,Maine,4540,4540,1381322,123,246,44792,27,90,15014,93,1307,168992,2741,2741,956400,113,226,42098,18,63,11730,54,1018,148019,2023
201599,24,3,5,Maryland,11108,11108,2311331,57,114,13628,12,46,5435,152,5789,750226,11067,11067,2303197,57,114,13628,12,46,5435,152,5789,750226,2015
201699,24,3,5,Maryland,11059,11059,2353850,85,170,18108,10,36,5398,177,5779,789489,10962,10962,2332180,85,170,18108,10,36,5398,177,5779,789489,2016
201799,24,3,5,Maryland,12384,12384,2698698,45,90,9075,3,10,1113,84,3740,548448,12142,12142,2638111,45,90,9075,3,10,1113,82,3696,543644,2017
201899,24,3,5,Maryland,12975,12975,2872292,32,64,10406,10,35,23933,103,5573,795218,12919,12919,2859247,32,64,10406,10,35,23933,103,5573,795218,2018
